"word","definition","read"
"impermeable","that cannot be permeated","impurmeeuhbuhl"
"imperturbable","calm not capable of being excited","imperturbuhbuhl"
"impervious","not allowing to pass through (of materials)","impurveeuhs"
"imperviousness","not permitting penetration or passage; impenetrable","impurveeuhs"
"impetuous","having sudden energy; impulsive","impechoouhs"
"impiety","lack of reverence or dutifulness","impahyitee"
"implacable","incapable of being placated; unpleasable","implakuhbuhl"
"implicate","to be involved","implikeyt"
"implicit","implied though; not plainly expressed","implisit"
"implosion","collapse; bursting inward","implohzhuhn"
"importune","beg urgently solicit (of a prostitute)","impawrtoon"
"imprecation","an invocation of evil a curse","imprikeyshuhn"
"impromptu","without preparation","impromptoo"
"impudent","rash; indiscreet","impyuhduhnt"
"impugned","challenged to be doubted","impyoon"
"impute","to attribute to a cause or source ascribe","impyoot"
"inadvertent","not paying proper attention","inuhdvurtnt"
"inane","silly; senseless","ihneyn"
"incense","make angry","insens"
"incessant","Constant","insesuhnt"
"inchoate","not yet fully formed; rudimentary; elementary","inkohit"
"incipient","beginning","insipeeuhnt"
"incise","engrave; make a cut in","insahyz"
"incite","stir up; rouse","insahyt"
"inclined","directing the mind in a certain direction","inklahynd"
"incongruous","out of place; not in harmony or agreement","inkonggroouhs"
"incorrigibility","cannot be cured or corrected","inkawrijuhbuhl"
"incredulous","skeptical; unwilling to believe","inkrejuhluhs"
"inculcate","fix firmly by repetition","inkuhlkeyt"
"incumbents","official duties","inkuhmbuhnt"
"incursion","a raid; a sudden attack","inkurzhuhn"
"indefatigability","not easily exhaustible; tirelessness","indifatiguhbuhl"
"indelible","that cannot be rubbed out","indeluhbuhl"
"indigence","poverty","indijuhns"
"indigenous","native","indijuhnuhs"
"indistinct","not easily heard; seen clearly marked","indistingkt"
"indolence","laziness","indluhns"
"indomitable","not easily discouraged or subdued","indomituhbuhl"
"indulge","gratify; give way to satisfy allow oneself","induhlj"
"indulgent","inclined to indulge","induhljuhnt"
"ineffable","to great to be described in words","inefuhbuhl"
"ineluctable","certain; inevitable","iniluhktuhbuhl"
"inept","unskillful; said or done at the wrong time","inept"
"ineptitude","quality of being unskillful","ineptitood"
"inferno","hell","infurnoh"
"infuriate","fill with fury or rage","verbinfyooreeeyt"
"infuse","put; pour; fill","infyooz"
"ingenuous","naive; young; artless; frank; honest; sincere","injenyoouhs"
"ingest","take in by swallowing","injest"
"inimical","harmful or unfriendly","ihnimikuhlorihnimikuhbuhl"
"inimitable","defying; imitation; unmatchable","ihnimituhbuhl"
"innocuous","causing no harm","ihnokyoouhs"
"inquest","Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death","inkwest"
"inscrutable","incapable of being discovered or understood","inskrootuhbuhl"
"insensible","unconscious; unresponsive; unaffected","insensuhbuhl"
"insinuate","suggest unpleasantly; make a way for something gently","insinyooeyt"
"insipid","without taste or flavor","insipid"
"insouciant","unconcerned; carefree","insooseeuhnt"
"insularity","narrow-mindedness; isolated","insuhler"
"insurrection","rising of people to open resistance to","insuhrekshuhn"
"interdict","prohibit forbid","nouninterdikt"
"interim","as an installment","interuhm"
"intersperse","place here and there","interspurs"
"intransigence","unwillingness to compromise stubbornness intractability","intransijuhns"
"intransigent","uncompromising","intransijuhnt"
"intrepid","fearless; brave; undaunted","intrepid"
"introspection","examining one's own thoughts and feelings","intruhspekshuhn"
"introvert","one who turns towards himself","noun"
"inundate","flood cover by overflowing","inuhndeyt"
"inured","accustomed to adapted","inyoor"
"invective","abusive language; curses","invektiv"
"inveigh","to attack verbally; denounce; deprecate","invey"
"inveterate","deep-rooted. long-established","inveterit"
"invincible","too strong to be defeated","invinsuhbuhl"
"involute","complex","adjective"
"irascible","irritable; easily angered","ihrasuhbuhl"
"irate","angry","ahyreyt"
"ire","anger","ahyuhr"
"irksome","tiresome","urksuhm"
"irresolute","hesitating; undecided","ihrezuhloot"
"irrevocable","final and unalterable","ihrevuhkuhbuhl"
"itinerate","to travel from place to place to peregrinate","ahytinuhreyt"
"jabber","talk excitedly; utter rapidly","jaber"
"jagged","notched","jagid"
"jejune","insubstantial/dull/immature","jijoon"
"jibe","gibe; make fun of","jahyb"
"jocular","meant as a joke","jokyuhler"
"judicious","sound in judgment; wise","joodishuhs"
"kibosh","block, halt, stop","kahybosh"
"knit","draw together; unite firmly","nit"
"labyrinthine","to entangle the state of affairs","labuhrinthin"
"lachrymose","causing tears; tearful","lakruhmohs"
"lackluster","(of eyes) dull","lakluhster"
"lam","a hasty escape; flight.","lam"
"Lambaste","attack verbally","lambeyst"
"lament","show feeling of great sorrow","luhment"
"lampoon","publicly mock or ridicule","lampoon"
"lassitude","weariness; tiredness","lasitood"
"latent","present but not yet active; developed or visible","leytnt"
"laudatory","expressing or giving praise","lawduhtawree"
"lavish","giving or producing freely liberally or generously","lavish"
"legacy","Bequest or inheritance","leguhsee"
"levee","formal reception/embankment","levee"
"levity","lack of seriousness","levitee"
"libel","statement that damages reputation","lahybuhl"
"liberality","free giving; generosity","libuhralitee"
"libertine","immoral person","liberteen"
"lien","legal claim until a debt on it is repaid","leen"
"limn","paint portray","lim"
"limp","lacking strength; walking unevenly","limp"
"lionize","treat as a famous person","lahyuhnahyz"
"lithe","bending; twisting","lahyth"
"livid","Furiously angry, enraged","livid"
"loll","rest to sit or stand in a lazy way hang (dog's tongue)","lol"
"lope","move along with long strides","lohp"
"loquacious","talkative; garrulous","lohkweyshuhs"
"lucubrate","write in scholarly fashion","lookyoobreyt"
"luculent","easily understood; lucid; clear","lookyooluhnt"
"lugubrious","mournful; excessively sad","loogoobreeuhs"
"lull","become quiet or less active","luhl"
"lumber","move in a clumsy/noisy way","luhmber"
"luminary","star; light-giving body","loomuhneree"
"lurk","be out of view ready to attack","lurk"
"lustrous","being bright; polished","luhstruhs"
"macabre","gruesome; suggesting death","muhkahbruh"
"macerate","make or become soft by soaking in water","masuhreyt"
"machination","plot; scheme (esp. evil)","makuhneyshuhn"
"maladroit","tactless; clumsy","maluhdroit"
"malapropism","misuse of a word (for one that resembles it)","maluhpropizuhm"
"malevolence","wishing to do evil","muhlevuhluhns"
"malevolent","malicious; evil; having or showing ill will","muhlevuhluhnt"
"malign","to speak harmful untruths about someone","muhlahyn"
"malinger","to fake illness or injury in order to shirk a duty","muhlingger"
"malleable","yielding easily shaped; moldable; adapting","maleeuhbuhl"
"manacle","chains for the hands or feet","manuhkuhl"
"massacre","cruel killing of a large number of people","masuhker"
"matriculation","be admitted enter a university as a student","verbmuhtrikyuhleyt"
"maudlin","sentimental in a silly or tearful way","mawdlin"
"maul","hurt by rough handling","mawl"
"maverick","rebel; nonconformist","maverik"
"mellifluous","sweetly flowing","muhlifloouhs"
"mendacious","lying; habitually dishonest","mendeyshuhs"
"mendacity","dishonesty","mendasitee"
"mendicant","a beggar","mendikuhnt"
"mephitic","Poisonous; noxious","muhfitik"
"mercurial","quick changeable in character fleeting","merkyooreeuhl"
"meretricious","attractive on the surface but of little value","meritrishuhs"
"mesmerize","hypnotize","mezmuhrahyz"
"meticulous","giving great attention to details","muhtikyuhluhs"
"mettle","quality of endurance or courage","metl"
"mettlesome","courageous; high-spirited","metlsuhm"
"middling","fairly good but not very good","midling"
"mien","demeanor","meen"
"minatory","menacing; threatening","minuhtawree"
"mince","pronounce or speak affectedly euphemize","mins"
"misanthrope","person who hates mankind","misuhnthrohp"
"mischievous","harmful; causing mischief","mischuhvuhs"
"miser","person who loves wealth and spends little","mahyzer"
"misogynist","one who hates women/females","misojuhnist"
"mite","A very small amount, portion, or particle","mahyt"
"moderation","quality of being limited; not extreme","moduhreyshuhn"
"mollify","make calmer or quieter","moluhfahy"
"molt","lose hair/feathers before new growing","mohlt"
"moot","open to discussion or debate; doubtful","moot"
"morbid","diseased; unhealthy (e.g.. about ideas)","mawrbid"
"moribund","in a dying state; near death","mawruhbuhnd"
"morose","ill-tempered; unsocial","muhrohs"
"muffler","cloth worn round the neck; silencer","muhfler"
"mulct","to deprive (someone) of something, as by fraud, extortion, etc.","muhlkt"
"multifarious","varied; motley; greatly diversified","muhltuhfaireeuhs"
"mundane","worldly as opposed to spiritual commonplace everyday","muhndeyn"
"myriad","very great number","mireeuhd"
"nadir","lowest; weakest point","neyder"
"narcissism","Self-love","nahrsuhsizem"
"nary","not any; no;","nairee"
"nascent","coming into existence; emerging","nasuhnt"
"nebulous","cloud-like; hazy; vague; indistinct","nebyuhluhs"
"negligent","taking too little care","neglijuhnt"
"nemesis","deserved and unavoidable punishment for wrong doing","nemuhsis"
"neophyte","person who has been converted to a belief","neeuhfahyt"
"nexus","a connection or link","neksuhs"
"nibble","show some inclination to accept (an offer)","nibuhl"
"nihilism","total rejection of all religious and moral beliefs","nahyuhlizuhm"
"noisome","offensive; disgusting (smell)","noisuhm"
"nonchalant","not having interest","nonshuhlahnt"
"nonplused","greatly surprised","nonpluhs"
"nostrum","a quack remedy; an untested cure","nostruhm"
"noxious","harmful","nokshuhs"
"nugatory","trifling/worthless","nooguhtawree"
"obdurate","hardened and unrepenting; stubborn; inflexible","obdoorit"
"obfuscate","to darken; make obscure; muddle","obfuhskeyt"
"oblivious","unaware; having no memory","uhbliveeuhs"
"obloquy","abusively; detractive language; sharp criticism; vituperation","obluhkwee"
"obsequious","too eager to obey or serve","uhbseekweeuhs"
"obstreperous","noisy; loud","uhbstreperuhs"
"obtain","to be established accepted or customary","uhbteyn"
"obtrusive","projecting; prominent; undesirably noticeable","uhbtroosiv"
"obtuse","blunt/stupid","uhbtoos"
"obviate","to make unnecessary get rid of","obveeeyt"
"occluded","blocked up","uhklood"
"odious","repulsive; hateful","ohdeeuhs"
"odium","intense hatred or dislike","ohdeeuhm"
"odor","smell","ohder"
"offhand","Without preparation or forethought","awfhand"
"officious","too eager or ready to help offer advice","uhfishuhs"
"ominous","threatening","omuhnuhs"
"onerous","needing effortl burdensome","oneruhs"
"onus","responsilibilty,burden","ohnuhs"
"opaqueness","dullness/not allowing light to pass through","ohpeyk"
"opprobrious","showing scorn or reproach","uhprohbreeuhs"
"orison","prayer","awruhzuhn"
"ossified","turned to bone; hardened like bone; Inflexible","osuhfahyd"
"ossify","to turn to bone to settle rigidly into an idea","osuhfahy"
"ostensible","seeming appearing as such professed","ostensuhbuhl"
"ostentation","display to obtain admiration or envy","ostenteyshuhn"
"ostracism","shut out from society refuse to meet talk","ostruhsizuhm"
"overhaul","examine thoroughly to learn about the condition","verbohverhawl"
"overweening","presumptuously; arrogant; overbearing","ohverweening"
"paean","song of praise or triumph","peeuhn"
"palate","roof of the mouth; sense of taste","palit"
"palatial","magnificent","puhleyshuhl"
"palaver","To flatter; to cajole","puhlaver"
"palliate","lessen the severity of","paleeeyt"
"palpability","can be felt or touched","palpuhbuhl"
"Palpable","Obvious","palpuhbuhl"
"palpitate","tremble beat rapidly and irregularly","palpiteyt"
"panegyric","formal praise eulogy","panijirik"
"paradigm","a model example or pattern","paruhdahym"
"parenthesis","sentence within another one something separated","puhrenthuhsis"
"pariah","an outcast a rejected and despised person","puhrahyuh"
"parley","negotiation","pahrlee"
"parsimonious","too economical; miserly","pahrsuhmohneeuhs"
"partisan","one-sided committed to a party biased or prejudiced","pahrtuhzuhn"
"Pastiche","work (usually artistic) which imitates","pasteesh"
"patron","regular customer person who gives support","peytruhn"
"paucity","scarcity a lacking of","pawsitee"
"peccadillo","small sin small weakness in one's character","pekuhdiloh"
"pedantic","bookish showing off learning","puhdantik"
"pedestrian","commonplace trite unremarkable","puhdestreeuhn"
"pellucid","transparent easy to understand","puhloosid"
"penchant","strong inclination a liking","penchuhnt"
"penitent","feeling or showing regret","penituhnt"
"penurious","poor/stingy","puhnooreeuhs"
"penury","extreme poverty","penyuhree"
"perch","take up a high position","purch"
"peregrination","traveling about wandering","perigruhneyshuhn"
"peremptory","urgent; imperative; unchallenged; ending debate","puhremptuhree"
"perfidious","treacherous; faithless","perfideeuhs"
"perfidy","treachery breaking of faith","purfidee"
"perfunctorily","performed merely as a routine duty; hasty and superficial","perfuhngktuhree"
"perfunctory","done as a duty without care","perfuhngktuhree"
"perilous","dangerous","peruhluhs"
"peripatetic","wandering","peruhpuhtetik"
"perish","be destroyed decay","perish"
"perjury","willful FALSE statement unlawful act","purjuhree"
"permeate","spread into every part of","purmeeeyt"
"pernicious","harmful; injurious","pernishuhs"
"perpetrate","be guilty commit (a crime)","purpitreyt"
"personable","pleasing in appearance attractive","pursuhnuhbuhl"
"perspicacity","quick judging and understanding","purspikasitee"
"pertain","belong as a part have reference","perteyn"
"pervade","spread through every part of","perveyd"
"pest","destructive thing or a person who is nuisance","pest"
"petrified","taken away power (to think feel act)","petruhfahy"
"petrify","to make hard rocklike","petruhfahy"
"petrous","like a rock hard stony","petruhs"
"petulant","unreasonably; impatient","pechuhluhnt"
"philanthropist","one who loves mankind","filanthruhpist"
"philistine","a smug ignorant person one who lacks knowledge","filuhsteen"
"phlegmatic","calm; sluggish; temperament; unemotional","flegmatikorflegmatikuhl"
"picaresque","involving clever rogues or adventurers","pikuhresk"
"pied","of mixed colors","pahyd"
"pileous","Covered with hair","pahyleeuhs"
"pilferer","to steal, especially in small quantities","pilfer"
"pillage","plunder (especially in war)","pilij"
"pinch","be too tight take between the thumb and finger","pinch"
"pinchbeck","An alloy of zinc and copper used as imitation gold; A cheap imitation","pinchbek"
"pine","waste away through sorrow or illness","pahyn"
"pious","dutiful to parents; devoted to religion","pahyuhs"
"piquant","agreeably pungent; stimulating","peekuhnt"
"pique","hurt the pride or self-respect stir (curiosity)","peek"
"pitfall","covered hole as a trap unsuspected danger","pitfawl"
"pith","essential part force soft liquid substance","pith"
"pivotal","of great importance (others depend on it)","pivuhtl"
"placate","soothe pacify calm","pleykeyt"
"plaintive","mournful; melancholy; sorrowful","pleyntiv"
"plaque","flat metal on a wall as a memorial","plak"
"platitude","a trite or banal statement unoriginality","platitood"
"plea","request","plee"
"plead","address a court of law as an advocate","pleed"
"plethora","glut","pletheruh"
"pliant","easily bent","plahyuhnt"
"plod","continue doing something without resting","plod"
"pluck","pull the feathers off pick (e.g.. flowers)","pluhk"
"plumb","get to the root of","pluhm"
"plummet","fall plunge steeply","pluhmit"
"plunge","move quickly suddenly and with force","pluhnj"
"poignant","deeply moving keen","poinyuhnt"
"polemic","a controversial argument / a person engaged in such an argument","puhlemik"
"poncho","large piece of cloth","ponchoh"
"ponderous","heavy; bulky; dull","ponderuhs"
"portent","omen marvelous threatening","pawrtent"
"poseur","a person who attempts to impress by acting unlike himself","pohzur"
"precarious","uncertain risky dangerous","prikaireeuhs"
"precepts","rules establishing standards of conduct","preesept"
"preclude","prevent make impossible","priklood"
"precursors","a person or thing that precedes, as in a process or job.","prikurser"
"precursory","preliminary; anticipating","prikursuhree"
"predilection","special liking mental preference","predlekshuhn"
"predominate","have more power than others","pridomuhneyt"
"preen","tidy/show self-satisfaction","preen"
"premature","doing or happening something before the right time","preemuhchoor"
"preponderance","greatness in number strength weight","priponderuhns"
"presage","warning sign","nounpresij"
"presentiment","anticipatory fear; premonition","prizentuhmuhnt"
"presumption","arrogance","prizuhmpshuhn"
"preternatural","not normal or usual","preeternacheruhl"
"prevalent","common","prevuhluhnt"
"prevaricate","to equivocate to stray from the truth","privarikeyt"
"prim","neat; formal","prim"
"pristine","primitive unspoiled pure as in earlier times unadulterated","pristeen"
"privation","hardship","prahyveyshuhn"
"probity","uprightness incorruptibility principle","prohbitee"
"proclivity","inclination","prohklivitee"
"procrastination","keeping on putting off","prohkrastuhneyshuhn"
"prodigal","wasteful; reckless with money","prodiguhl"
"prodigious","enormous; wonderful","pruhdijuhs"
"profane","worldly having contempt for God","pruhfeyn"
"profligacy","shameless immorality","profliguhsee"
"profligate","wasteful prodigal licentious extravagant","profligit"
"profundity","depth","pruhfuhnditee"
"profuse","abundant/lavish","pruhfyoos"
"proliferate","grow reproduce by rapid multification","pruhlifuhreyt"
"prolix","tiring because too long","prohliks"
"prone","prostrate; inclined to (undesirable things)","prohn"
"propagation","increasing the number; spreading; extending","propuhgeyshuhn"
"propinquity","nearness in time or place affinity of nature","prohpingkwitee"
"propitiatory","conciliatory; appeasing; mitigating","pruhpisheeuhtawree"
"propitious","auspicious; presenting favorable circumstances","pruhpishuhs"
"prosaic","straightforward.; lacking in imagination and spirit","prohzeyik"
"proscribe","denounce as dangerous","prohskrahyb"
"protracted","prolonged","prohtrakt"
"provident","frugal; looking to the future","providuhnt"
"provisional","of the present time only","pruhvizhuhnl"
"provoke","make angry vax","pruhvohk"
"prudence","careful forethought","proodns"
"prudish","easily shocked; excessively modest","proodish"
"prune","dried plum silly person","proon"
"pry","get something inquire too curiously","prahy"
"pucker","wrinkle","puhker"
"puerile","childish","pyooeril"
"pugnacious","fond of in the habit of fighting","puhgneyshuhs"
"puissance","strength","pyoouhsuhns"
"pulchritude","Physical beauty","puhlkritood"
"pulchritudinous","physically beautiful; comely.","puhlkritoodnuhs"
"punctilious","Meticulous","puhngktileeuhs"
"pundit","pedant authority on a subject","puhndit"
"pungency","sharpness stinging quality","puhnjuhnt"
"punitive","Punishing","pyoonitiv"
"purvey","provide supply","pervey"
"pusillanimous","cowardly; craven","pyoosuhlanuhmuhs"
"putrefaction","becoming rotten","pyootruhfakshuhn"
"pyre","large pile of wood for burning","pahyuhr"
"quack","person dishonestly claiming to something","kwak"
"quaff","drink deeply","kwof"
"quail","lose courage turn frightened","kweyl"
"qualm","feeling of doubt temporary feeling of sickness","kwahm"
"quandary","state of doubt or perplexity","kwonduhree"
"quell","suppress subdue","kwel"
"quibble","try to avoid by sophistication","kwibuhl"
"quiescence","state of being passive/motionless","kweeesuhnt"
"quirk","habit or action peculiar to something","kwurk"
"quixotic","fanciful, fantastic, imaginary","kwiksotik"
"quotidian","banal; everyday","kwohtideeuhn"
"rabble","mob crowd the lower classes of populace","rabuhl"
"raconteur","person who tells anecdotes","rakuhntur"
"raffish","showing vulgar in nature or appearance; tawdry","rafish"
"ramify","to be divided or subdivided to branch out","ramuhfahy"
"rancorous","feeling bitterness; spitefulness","rangkeruhs"
"rant","use extravagant language","rant"
"rapacious","greedy (esp for money)","ruhpeyshuhs"
"rarefy","to make thin to make less dense to purify or refine","rairuhfahy"
"rave","act with excessive enthusiasm","reyv"
"reactionary","opposing progress","reeakshuhneree"
"rebuff","snub","nounribuhf"
"rebus","puzzle in which pictures stand for words","reebuhs"
"recalcitrant","disobedient","rikalsitruhnt"
"recant","take back as being FALSE give up","rikant"
"recast","cast or fashion anew","verbreekast"
"recidivism","relapse into antisocial or criminal behavior","risiduhvizuhm"
"reciprocity","granting of privileges in return for similar","resuhprositee"
"recitals","a number of performance of music","risahytl"
"recluse","person who lives alone and avoids people","nounrekloos"
"recompense","make payment to reward punish","rekuhmpens"
"reconcile","settle a quarrel restore peace","rekuhnsahyl"
"recondite","little known; abstruse","rekuhndahyt"
"recreancy","cowardice a cowardly giving up","rekreeuhnt"
"recuperate","become strong after illness loss exhaustion","rikoopuhreyt"
"redeem","get back by payment compensate","rideem"
"redoubtable","formidable causing fear","ridoutuhbuhl"
"refine","make or become pure cultural","rifahyn"
"refractory","stubborn; unmanageable; intractable","rifraktuhree"
"refulgent","shining; brilliant","rifuhljuhnt"
"regale","to delight or entertain to feast","rigeyl"
"regicide","crime of killing a king","rejuhsahyd"
"reiterate","say or do again several times","reeituhreyt"
"Rejoinder","response","rijoinder"
"rejuvenation","becoming young in nature or appearance","rijoovuhneyt"
"relapse","fall back again","verbrilaps"
"reminiscent","suggest something in the past","remuhnisuhnt"
"remonstrate","to protest object","rimonstreyt"
"render","deliver provide represent","render"
"renovate","restore something to better condition","renuhveyt"
"renowned","celebrated; famous","rinound"
"repast","meal","nounripast"
"repel","refuse to accept/cause dislike","ripel"
"repertoire","A stock of plays, dances, or pieces that a company or a performer knows or is prepared to perform","repertwahr"
"repine","at be discontented with","ripahyn"
"repose","rest;sleep","ripohz"
"reproach","scold upbraid","riprohch"
"reprobate","person hardened in sin; one devoid of decency","repruhbeyt"
"repudiate","disown refuse to accept or pay","ripyoodeeeyt"
"repulsive","causing a feeling of disgust","ripuhlsiv"
"requite","repay give in return","rikwahyt"
"rescind","repeal/annul/cancel","risind"
"resigned","unresistant; submissive","rizahynd"
"resilience","quality of quickly recovering the original shape","rizilyuhns"
"resort","to frequently visit","rizawrt"
"restive","refusing to move reluctant to be controlled","restiv"
"resuscitation","coming back to consciousness","risuhsiteyt"
"retard","check hinder","ritahrd"
"reticence","uncommunicativeness","retuhsuhns"
"reticent","reserved; untalkative; silent; taciturn","retuhsuhnt"
"retinue","following; attendants","retnoo"
"retrograde","receding","retruhgreyd"
"retrospective","Looking back on past","retruhspektiv"
"revere","have deep respect for","riveer"
"reverent","feeling or showing deep respect","reveruhnt"
"riddle","puzzling person or thing","ridl"
"rife","widespread","rahyf"
"rift","split crack dissension","rift"
"rivet","fix take up secure metal pin","rivit"
"roll","call calling of names","rohl"
"rotund","rich and deep; plump and round","rohtuhnd"
"rubicund","red and healthy","roobikuhnd"
"ruddy","reddish, healthy-looking","ruhdee"
"rueful","dejected","roofuhl"
"ruffian","violent cruel man","ruhfeeuhn"
"rumple","make rough","ruhmpuhl"
"sadistic","Cruel","suhdistik"
"sagacious","having sound judgment; perceptive; wise like a sage","suhgeyshuhs"
"salacious","obscene","suhleyshuhs"
"salubrious","healthful","suhloobreeuhs"
"salutary","remedial wholesome causing improvement","salyuhteree"
"salvage","the saving of property from loss","salvij"
"sanctimony","self-righteousness hypocritical with FALSE piety","sangktuhmohnee"
"sanction","approval (by authority) penalty","sangkshuhn"
"sanguine","cheerful; confident; optimistic","sanggwin"
"sanity","health of mind soundness of judgment","sanitee"
"sash","long strip worn round the waist","sash"
"satiate","satisfy fully","verbseysheeeyt"
"saturnine","gloomy; dark; sullen; morose","saternahyn"
"savant","person of great learning","savahnt"
"savor","taste flavor something","seyver"
"sawdust","tiny bits of wood","sawduhst"
"scabbard","sheath for the blade","skaberd"
"scalding","hot enough to boil","skawld"
"scent","smell (especially pleasant)","sent"
"scorch","become discolored/dry up/go at high speed","skawrch"
"scribble","write hastily","skribuhl"
"scurvy","mean; contemptible","skurvee"
"secular","material (not spiritual) living outside monasteries","sekyuhler"
"sedulous","persevering","sejuhluhs"
"seminal","like a seed constituting a source; originative","semuhnl"
"sententious","short and pithy full of maxims/proverbs","sentenshuhs"
"sequence","succession connected line of","seekwuhns"
"sere","make hard and without feeling","seer"
"sermon","reproving a person for his faults","surmuhn"
"serration","having a toothed edge","sereyshuhn"
"servile","like a slave lacking independence","survil"
"sever","break off","sever"
"severance","severing","severuhns"
"shallow","little depth; not earnest","shaloh"
"shard","A piece of broken pottery","shahrd"
"sheath","cover for the blade of a weapon or a tool","sheeth"
"shrewd","astute; showing sound judgement","shrood"
"shrill","sharp; piercing","shril"
"shun","keep away from avoid","shuhn"
"shunned","avoided, kept away from","shuhn"
"shunt","send from one track to another lay aside evade discussion","shuhnt"
"sidestep","step to one side","sahydstep"
"simper","(give a) silly/self-conscious smile","simper"
"sinuous","winding; undulating serpentine","sinyoouhs"
"sketchy","shortly, roughly, quickly","skechee"
"skiff","small boat","skif"
"skit","short piece of humorous writing","skit"
"slack","sluggish; dull; not tight","slak"
"slake","to assuage to satisfy allay","sleyk"
"slate","king of blue-grey stone propose criticize","sleyt"
"sluggard","lazy slow-moving person","sluhgerd"
"slur","join sounds/words (indistinct)","slur"
"smolder","burn slowly without flame","smohlder"
"snare","trap","snair"
"snub","treat with contempt","snuhb"
"soar","rise fly high","sawr"
"sober","self-controlled","sohber"
"sobriety","quality or condition of being sober","suhbrahyitee"
"sobriquet","nickname","sohbruhkey"
"sodden","soaked; saturated","sodn"
"soggy","heavy with water","sogee"
"solvent","of the power of forming a solution","solvuhnt"
"somatic","of the body","sohmatik"
"somersault","rolling backward or forward (not sideways) movement","suhmersawlt"
"soot","black powder in smoke","soot"
"sophisticated","complex; subtle; refined","suhfistikeytid"
"sophistry","fallacious; reasoning faulty logic","sofuhstree"
"sophomoric","being immature","sofuhmawrik"
"soporific","producing sleep","sopuhrifik"
"sordid","wretched; comfortless; contemptible","sawrdid"
"spear","weapon with a metal point on a long shaft","speer"
"specious","illogical of questionable truth or merit","speeshuhs"
"splenetic","bad-tempered;irritable","splinetik"
"splice","join (two ends)","splahys"
"sponge","porous rubber for washing live at once expense","spuhnj"
"sporadic","happening from time to time","spuhradik"
"spurious","false; counterfeit","spyooreeuhs"
"spurn","have nothing to do reject or refuse","spurn"
"squalid","foul filthy","skwolid"
"squander","spend wastefully","skwonder"
"squat","crouch/settle without permission","skwot"
"stanch","to stop the flow of a fluid","stawnch"
"steeply","rising or falling sharply","steep"
"stentorian","extremely loud and powerful","stentawreeuhn"
"stickler","person who insists on importance of something","stikler"
"stifled","suppressed, kept back","stahyfuhl"
"stigma","mark of shame or disgrace","stigmuh"
"stigmatize","describe somebody scornfully","stigmuhtahyz"
"sting","something sharp","sting"
"stingy","spending using unwillingly","stinjee"
"stint","to be thrifty to set limits","stint"
"stipple","paint with dots","stipuhl"
"stipulate","state or put forward as a necessary condition","stipyuhleyt"
"stolid","showing no emotion impassive","stolid"
"stray","wander lose one's way","strey"
"streak","long thin move very fast","streek"
"striated","striped grooved or banded","strahyeytid"
"stride","walk with long steps","strahyd"
"strive","to make great efforts, to struggle","strahyv"
"strut","a supporting bar","struht"
"stygian","hence; dark; gloomy","stijeeuhn"
"stymie","to hinder obstruct or block","stahymee"
"subdue","overcome bring under control","suhbdoo"
"sublime","extreme; astounding","suhblahym"
"submerge","put under water liquid sink out of sight","suhbmurj"
"suborn","induce by bribery or something to commit perjury","suhbawrn"
"subpoena","written order requiring a person to appear in a low court","suhpeenuh"
"substantiation","giving facts to support (statement)","suhbstansheeeyt"
"subsume","include under a rule","suhbsoom"
"succor","assistance relief in time of distress","suhker"
"succumb","yield, die","suhkuhm"
"suffice","be enough","suhfahys"
"suffocate","cause or have difficulty in breathing","suhfuhkeyt"
"sullied","to be stained or discredited","suhlee"
"sumptuous","magnificent","suhmpchoouhs"
"sundry","various miscellaneous; separate","suhndree"
"supercilious","disdainful characterized by haughty scorn","soopersileeuhs"
"superfluous","more then is needed or wanted","soopurfloouhs"
"superimpose","put something on the top","sooperimpohz"
"supersede","take the place of","sooperseed"
"supine","lying on the back slow to act passive","adjectivesoopahyn"
"suppliant","asking humbly beseeching","suhpleeuhnt"
"supplicate","make a humble petition to","suhplikeyt"
"suppress","prevent from being known put an end to","suhpres"
"surcharge","additional load/charge","nounsurchahrj"
"surfeit","satiate feed to fulness or to excess","surfit"
"susceptibility","sensitiveness","suhseptuhbilitee"
"swerve","change direction suddenly","swurv"
"sycophant","person who flatter to the rich and powerful","sikuhfuhnt"
"taciturn","unspoken, silent","tasiturn"
"tadpole","form of a frog when it leaves the egg","tadpohl"
"talon","claw of a bird of prey","taluhn"
"tamp","tap or drive down by repeated light blows","tamp"
"tamper","interfere with","tamper"
"tangential","suddenly changeable","tanjenshuhl"
"tarnished","lost brightness","tahrnish"
"tassel","bunch of threads","tasuhl"
"taunt","contemptuous reproach hurtful remark","tawnt"
"taut","tightly stretched","tawt"
"tautology","a repetition a redundancy","tawtoluhjee"
"tawdry","cheap gaudy showy tacky","tawdree"
"teetotal","oppose to alcohol","teetohtl"
"telltale","That gives warning or information","telteyl"
"temerity","boldness brashness intrepidness","tuhmeritee"
"temperance","abstinence from alcohol self-control moderation","temperuhns"
"temperate","showing self-control","temperit"
"tenacity","firmness persistency adhesiveness tending to hang on","tuhnasitee"
"tenuous","insubstantial flimsy weak","tenyoouhs"
"tepid","lukewarm","tepid"
"terse","brief and to the point","turs"
"testiness","witness/evidence","testee"
"thrift","care economy thriving prosperous","thrift"
"thwart","obstruct/frustrate","thwawrt"
"timid","shy easily frightened","timid"
